trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.22018289504726,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 1.0}",20,0,-246.3768680893499,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 5}",0
95,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.30440617207605,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.48917987486146,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 1.0}",25,8,-79.94868675260126,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 1.0}",25,5,-98.30306782926874,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.5596765290398,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
100,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.6679361180465,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 1.0}",30,11,-102.02637811133647,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 1}",1
102,False,"{'a': 0.5, 'e': 1.0}",30,0,-56.8570142257732,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.94731922087792,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
104,False,"{'a': 0.5, 'e': 1.0}",30,0,-186.32339037043505,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
